scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,sd,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr,1yr_return_rank,3yr_return_rank,5yr_return_rank,sortino_rank,alpha_rank,sd_rank,beta_rank,sharpe_rank,expense_rank
Kotak Floating Rate Fund,1000,5000,0.22,4796,4,Deepak Agrawal,1.86,3.79,2.35,1.03,1.02,2,Kotak Mahindra Mutual Fund,2,Debt,Floater Mutual Funds,4.6,7,,428,249,407,211,575,213,657,250,687
Kotak Focused Equity Fund,1000,5000,0.51,2447,4,Shibani Kurian,2.85,1.39,15.69,0.9,1.44,6,Kotak Mahindra Mutual Fund,3,Equity,Focused Funds,0.5,26.6,,144,578,407,389,327,511,452,513,464
Kotak Gilt – Invest Plan – Direct Growth,1000,5000,0.41,1699,10,Abhishek Bisen,0.81,1.3,3.24,0.7,0.64,2,Kotak Mahindra Mutual Fund,4,Debt,Gilt Mutual Funds,5.2,6.3,8.4,496,203,300,88,306,262,193,119,515
Kotak Gilt Invest – PF & Trust Plan – Direct Growth,1000,5000,0.41,1699,10,Abhishek Bisen,0.81,1.3,3.23,0.7,0.64,2,Kotak Mahindra Mutual Fund,4,Debt,Gilt Mutual Funds,5.2,6.3,8.4,496,203,300,88,306,260,193,119,515
Kotak Gold Fund,1000,5000,0.18,1406,10,Abhishek Bisen,1.08,-0.32,13.51,0.97,0.48,5,Kotak Mahindra Mutual Fund,3,Other,FoFs Domestic,14.2,12.2,13.7,788,321,574,125,125,417,577,94,728
Kotak India EQ Contra Fund,1000,5000,0.81,1440,10,Shibani Kurian,3.35,4.24,15.95,0.92,1.57,6,Kotak Mahindra Mutual Fund,4,Equity,Contra Funds,7.3,29.7,14.2,710,645,590,542,589,540,492,603,299
Kotak India Growth Fund,0,5000,0.34,90,5,Devender Singhal,3.71,7.67,17.23,0.95,1.75,6,Kotak Mahindra Mutual Fund,0,Equity,Multi Cap Funds,4.8,35.5,15.6,446,732,619,643,698,662,550,680,580
Kotak Infrastructure & Ecoc. Reform-SP-DirGrowth,1000,5000,1,727,10,Harish Krishnan,4.55,14.15,16.65,0.6,2,6,Kotak Mahindra Mutual Fund,4,Equity,Sectoral / Thematic Mutual Funds,23.2,39.7,13.9,811,759,580,754,762,617,131,763,216
Kotak Liquid Fund,1000,100,0.15,33220,10,Deepak Agrawal,3.68,1.33,0.38,0.76,0.85,3,Kotak Mahindra Mutual Fund,2,Debt,Liquid Mutual Funds,5.6,4.3,5.3,595,45,45,637,313,40,246,169,751
Kotak Low Duration Fund,1000,5000,0.43,7420,10,Deepak Agrawal,2.67,2.9,1.3,0.78,1.43,3,Kotak Mahindra Mutual Fund,3,Debt,Low Duration Funds,5.4,6.2,6.9,540,193,179,352,507,137,266,503,505
Kotak Medium Term Fund,1000,5000,0.58,1934,9,Deepak Agrawal,0.71,2.04,3.41,0.79,0.66,3,Kotak Mahindra Mutual Fund,4,Debt,Medium Duration Funds,4,7,6.6,362,249,153,80,407,266,281,125,428
Kotak Money Market Fund,0,5000,0.26,14248,10,Deepak Agrawal,4.43,2.59,0.51,1.2,1.92,3,Kotak Mahindra Mutual Fund,3,Debt,Money Market Funds,5.6,5.1,6.1,595,112,112,743,468,68,696,741,655
Kotak Multi Asset Allocator FoF – Dynamic – Direct Growth,1000,5000,0.13,783,10,Devender Singhal,4.33,8.04,10.99,0.7,1.91,5,Kotak Mahindra Mutual Fund,0,Other,FoFs Domestic,11.2,25,15.3,762,507,613,734,702,363,193,738,768
Kotak Overnight Fund,0,5000,0.07,8999,4,Deepak Agrawal,-0.1,0.56,0.35,0.42,-0.02,1,Kotak Mahindra Mutual Fund,3,Debt,Overnight Mutual Funds,5.4,3.9,,540,13,407,19,200,15,33,19,800
Kotak Savings Fund,1000,5000,0.37,12325,10,Deepak Agrawal,4.14,2.57,0.58,1.12,1.85,3,Kotak Mahindra Mutual Fund,3,Debt,Ultra Short Duration Funds,5.5,5.2,6.2,575,124,122,713,463,79,680,713,550
Kotak Small Cap Fund,500,500,0.59,8617,10,Pankaj Tibrewal,4.06,8.99,18.26,0.81,1.98,6,Kotak Mahindra Mutual Fund,4,Equity,Small Cap Mutual Funds,-0.7,43.1,17,102,771,629,697,718,704,309,758,422
Kotak Tax Saver Fund,500,500,0.69,3167,10,Harsha Upadhyaya,3.36,4.69,14.44,0.83,1.68,6,Kotak Mahindra Mutual Fund,4,Equity,ELSS Mutual Funds,5,28.9,14.4,470,627,594,545,613,443,332,656,359
L&T Focused Equity Fund,500,5000,1.09,946,4,Venugopal Manghat,-,-,-,-,-,6,L&T Mutual Fund,3,Equity,Focused Funds,-0.7,33.7,11.3,102,708,428,407,407,407,407,407,176
L&T India Large Cap Fund,500,5000,1.49,757,10,Venugopal Manghat,2.6,-2.34,16.62,0.97,1.18,6,L&T Mutual Fund,2,Equity,Large Cap Mutual Funds,0.8,33,12.1,159,695,480,333,42,610,577,318,69
LIC MF Arbitrage Fund,1000,5000,0.31,27,4,Jaiprakash Toshniwal,0.67,1.23,0.78,0.6,0.55,1,LIC Mutual Fund,2,Hybrid,Arbitrage Mutual Funds,5.5,4.4,,575,57,407,76,299,119,131,105,609
LIC MF Banking & Fina Serv Fund,1000,5000,1.54,121,8,Jaiprakash Toshniwal,2.19,0.9,22.14,0.85,0.97,6,LIC Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,13.9,22.7,8.5,785,461,305,253,255,767,364,221,58
LIC MF Banking & PSU Debt Fund,1000,5000,0.28,1190,10,Marzban Irani,1.49,3.94,1.53,2.05,0.78,2,LIC Mutual Fund,3,Debt,Banking and PSU Mutual Funds,4.2,5.7,6.8,383,159,171,159,581,146,752,150,638
LIC MF Bond Fund,1000,5000,0.21,111,10,Marzban Irani,0.32,0.23,2.6,1.24,0.22,3,LIC Mutual Fund,2,Debt,Medium to Long Duration Funds,4.4,4.7,6.2,404,83,122,40,158,229,702,49,700
LIC MF Children’s Gift Fund,1000,5000,1.86,12,10,Karan Desai,2.54,-3.65,13.05,0.9,0.99,6,LIC Mutual Fund,1,Solution Oriented,Childrens Funds,-1.9,17.1,7.6,75,371,245,322,28,410,452,232,14
LIC MF Debt Hybrid Fund,1000,5000,1.34,61,10,Karan Desai,2.11,-0.54,4.14,0.61,0.92,4,LIC Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,2.5,8.1,6.7,263,273,157,239,115,284,140,193,95
LIC MF Equity Hybrid Fund,1000,5000,1.43,378,10,Karan Desai,2.26,-2.85,11.49,0.77,0.99,6,LIC Mutual Fund,1,Hybrid,Aggressive Hybrid Mutual Funds,-0.5,15.1,8.3,115,358,293,264,37,373,256,232,81
LIC MF Flexi Cap Fund,1000,5000,1.74,383,10,Amit Nadekar,2.15,-4.31,14.27,0.8,1.02,6,LIC Mutual Fund,2,Equity,Flexi Cap Funds,-0.9,18.3,8.8,99,393,312,245,26,438,294,250,33
LIC MF G-Sec Fund,1000,10000,0.76,46,10,Marzban Irani,0.51,0.27,2.23,0.45,0.35,2,LIC Mutual Fund,3,Debt,Gilt Mutual Funds,3.3,4.9,7.7,305,95,254,61,166,205,54,60,327
LIC MF Infrastructure Fund,1000,5000,1.47,90,10,Yogesh Patil,3.89,7.11,16.12,0.57,1.56,6,LIC Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,6.7,29.8,11.2,698,647,425,672,690,557,114,598,70
LIC MF Large & Mid Cap Fund,1000,5000,0.84,1888,8,Yogesh Patil,2.59,0.78,14.89,0.84,1.34,6,LIC Mutual Fund,3,Equity,Large & Mid Cap Funds,-4.3,22.8,10.9,43,464,408,332,244,464,348,428,295
LIC MF Large Cap Fund,1000,5000,1.39,648,10,Yogesh Patil,2.37,-3.35,15.42,0.88,1.08,6,LIC Mutual Fund,2,Equity,Large Cap Mutual Funds,-3.2,19.7,10.9,56,410,408,287,30,493,417,275,89
LIC MF Liquid Fund,1000,5000,0.16,5996,10,Rahul Singh,4.72,1.33,0.37,0.73,0.97,3,LIC Mutual Fund,3,Debt,Liquid Mutual Funds,5.6,4.4,5.3,595,57,45,762,313,34,216,221,745
LIC MF Nifty 50 Index Fund,1000,5000,0.2,53,10,Jaiprakash Toshniwal,3.44,-0.85,16.75,1,1.3,6,LIC Mutual Fund,3,Other,Index Funds,1,25.8,11.7,177,545,454,574,91,628,632,397,714
LIC MF Overnight Fund,1000,5000,0.07,951,4,Rahul Singh,0.11,0.57,0.35,0.42,0.02,1,LIC Mutual Fund,4,Debt,Overnight Mutual Funds,5.4,3.9,,540,13,407,30,204,15,33,24,800
LIC MF S&P BSE Sensex Index Fund,1000,5000,0.38,68,10,Jaiprakash Toshniwal,3.4,-1.81,16.89,1,1.23,6,LIC Mutual Fund,3,Other,Index Funds,2.2,25.4,12.6,244,530,507,557,54,642,632,339,543
LIC MF Savings Fund,1000,5000,0.27,707,10,Rahul Singh,4.54,2.95,1.02,1.01,1.57,2,LIC Mutual Fund,3,Debt,Low Duration Funds,5,5.9,5.6,470,169,82,752,511,132,648,603,649
LIC MF Short Term Debt Fund,1000,5000,0.37,110,4,Marzban Irani,1.26,4.66,1.61,2.57,0.76,3,LIC Mutual Fund,2,Debt,Short Duration Funds,3.7,5.7,,331,159,407,142,611,152,763,142,550
LIC MF Tax Plan – Direct Growth,500,500,1.47,401,10,Amit Nadekar,2.55,-0.72,14.61,0.81,1.25,6,LIC Mutual Fund,2,Equity,ELSS Mutual Funds,-1.9,20.5,9.9,75,423,365,324,98,448,309,350,70
LIC MF Ultra Short Term Fund,1000,5000,0.3,40,3,Rahul Singh,1.98,1.33,0.39,0.75,0.85,1,LIC Mutual Fund,1,Debt,Ultra Short Duration Funds,5,4.5,,470,70,407,225,313,55,236,169,619
Mahindra Manulife Aggressive Hybrid Fund,500,1000,0.65,615,4,Fatema Pacha,3.57,4.52,12.44,0.85,1.62,6,Mahindra Manulife Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,2.7,24.6,,273,500,407,619,605,398,364,640,383
Mahindra Manulife Consumption Fund,500,1000,0.82,54,4,Abhinav Khandelwal,2.76,0.66,14.14,0.77,1.33,6,Mahindra Manulife Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,5.7,21.3,,631,429,407,371,225,435,256,422,297
Mahindra Manulife Dynamic Bond Fund,500,1000,0.51,66,5,Rahul Pal,-0.01,-0.19,1.7,0.65,-0.01,3,Mahindra Manulife Mutual Fund,2,Debt,Dynamic Bond,3.4,4.4,,310,57,407,21,133,159,167,20,464
Mahindra Manulife ELSS Fund,500,500,0.73,525,6,Fatema Pacha,3.64,2.66,16.21,0.94,1.53,6,Mahindra Manulife Mutual Fund,3,Equity,ELSS Mutual Funds,2.3,29.3,12,251,635,470,630,480,564,527,575,340
Mahindra Manulife Equity Savings Fund,500,1000,0.7,418,6,Fatema Pacha,3.1,3.84,8.16,1.24,1.56,4,Mahindra Manulife Mutual Fund,4,Hybrid,Equity Savings Mutual Funds,1.7,32.4,13.3,213,679,550,459,579,337,702,598,353
Mahindra Manulife Large & Mid Cap Fund,500,1000,0.51,1056,3,Manish Lodha,3.07,4.98,15.69,0.88,1.61,6,Mahindra Manulife Mutual Fund,5,Equity,Large & Mid Cap Funds,-1.1,30.4,,95,654,407,449,640,511,417,631,464
Mahindra Manulife Large Cap Fund,500,1000,0.67,215,4,Abhinav Khandelwal,2.71,-1.04,15.36,0.9,1.25,6,Mahindra Manulife Mutual Fund,4,Equity,Large Cap Mutual Funds,0.3,25.7,,140,542,407,360,80,488,452,350,372
Mahindra Manulife Liquid Fund,0,1000,0.15,514,7,Rahul Pal,5.26,1.41,0.37,0.74,1.15,3,Mahindra Manulife Mutual Fund,5,Debt,Liquid Mutual Funds,5.7,4.5,5.4,631,70,63,776,332,34,227,308,751
Mahindra Manulife Low Duration Fund,500,1000,0.37,395,6,Rahul Pal,3.11,2.67,0.76,1.07,1.63,3,Mahindra Manulife Mutual Fund,3,Debt,Low Duration Funds,5.2,5.5,6.4,496,143,136,460,481,115,672,644,550
Mahindra Manulife Mid Cap Fund,500,1000,0.66,1060,5,Abhinav Khandelwal,2.99,-0.01,16.69,0.89,1.57,6,Mahindra Manulife Mutual Fund,3,Equity,Mid Cap Mutual Funds,3.7,31,14.7,331,665,603,426,144,626,432,603,378
Mahindra Manulife Multi Cap Fund,500,1000,0.49,1515,6,Fatema Pacha,2.87,4.41,17.39,0.98,1.58,6,Mahindra Manulife Mutual Fund,0,Equity,Multi Cap Funds,1.2,32.6,15.8,184,690,623,394,597,667,591,609,476
Mahindra Manulife Overnight Fund,0,1000,0.12,345,4,Rahul Pal,0.52,0.61,0.34,0.43,0.1,1,Mahindra Manulife Mutual Fund,4,Debt,Overnight Mutual Funds,5.4,3.9,,540,13,407,62,211,5,42,38,772
Mahindra Manulife Short Duration Fund,500,1000,0.29,43,2,Rahul Pal,-,-,-,-,-,3,Mahindra Manulife Mutual Fund,3,Debt,Short Duration Funds,4.4,,,404,407,407,407,407,407,407,407,628
Mahindra Manulife Ultra Short Duration Fund,500,1000,0.35,170,3,Rahul Pal,3.72,2.38,0.56,1.05,1.74,2,Mahindra Manulife Mutual Fund,4,Debt,Ultra Short Duration Funds,5.5,5.1,,575,112,407,647,440,76,666,675,570
Mirae Asset Banking and PSU Debt Fund,1000,5000,0.34,89,3,Basant Bafna,-,-,-,-,-,2,Mirae Asset Mutual Fund,3,Debt,Banking and PSU Mutual Funds,3.7,,,331,407,407,407,407,407,407,407,580
Mirae Asset Cash Management Fund,1000,5000,0.17,5983,10,Abhishek Iyer,6.12,1.3,0.37,0.7,1,2,Mirae Asset Mutual Fund,3,Debt,Liquid Mutual Funds,5.6,4.3,5.3,595,45,45,785,306,34,193,240,736
Mirae Asset Corporate Bond Fund,1000,5000,0.46,57,2,Mahendra Jajoo,-,-,-,-,-,2,Mirae Asset Mutual Fund,3,Debt,Corporate Bond Mutual Funds,3.7,,,331,407,407,407,407,407,407,407,489
Mirae Asset Dynamic Bond Fund,1000,5000,0.18,213,6,Amit Modani,0.22,0.15,2.49,1.14,0.19,3,Mirae Asset Mutual Fund,2,Debt,Dynamic Bond,2.8,4.5,7.2,277,70,207,35,153,222,684,45,728
Mirae Asset Emerging Bluechip Fund,1000,5000,0.68,23394,10,Neelesh Surana,3.42,3.14,16.51,0.95,1.51,6,Mirae Asset Mutual Fund,5,Equity,Large & Mid Cap Funds,-1.2,29.4,15.1,90,639,609,568,535,595,550,561,366
Mirae Asset Equity Savings Fund,1000,5000,0.43,573,4,Harshad Borawake,4.03,4.3,7.17,1.06,1.66,4,Mirae Asset Mutual Fund,5,Hybrid,Equity Savings Mutual Funds,3.7,16.1,,331,365,407,694,594,331,668,650,505
Mirae Asset Focused Fund,1000,5000,0.59,8615,4,Gaurav Misra,3.4,2.4,16.34,0.92,1.47,6,Mirae Asset Mutual Fund,4,Equity,Focused Funds,-4.9,28.4,,38,619,407,557,444,582,492,533,422
Mirae Asset Great Consumer Fund,1000,5000,0.5,1989,10,Ankit Jain,3.41,6.38,13.39,0.7,1.68,6,Mirae Asset Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,8.1,27.2,14,727,596,582,562,672,413,193,656,472
Mirae Asset Healthcare Fund,1000,5000,0.52,1505,5,Vrijesh Kasera,2.23,2.95,21.5,0.99,1,6,Mirae Asset Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-10.7,25,,11,507,407,258,511,766,610,240,463
Mirae Asset Hybrid – Equity Fund,1000,5000,0.36,6952,8,Harshad Borawake,3.27,1.95,12.26,0.84,1.42,6,Mirae Asset Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,1.7,21.9,12.2,213,444,485,510,401,393,348,496,560
Mirae Asset Large Cap Fund,1000,5000,0.53,32910,10,Gaurav Misra,3.55,0.41,15.64,0.92,1.36,6,Mirae Asset Mutual Fund,3,Equity,Large Cap Mutual Funds,0.6,25.3,12.1,149,527,480,612,177,509,492,440,461
Mirae Asset Midcap Fund,1000,5000,0.58,8753,4,Ankit Jain,3.44,2.67,16.86,0.92,1.76,6,Mirae Asset Mutual Fund,4,Equity,Mid Cap Mutual Funds,1.2,35,,184,727,407,574,481,640,492,686,428
Mirae Asset Money Market Fund,1000,5000,0.25,59,2,Basant Bafna,-,-,-,-,-,2,Mirae Asset Mutual Fund,3,Debt,Money Market Funds,5.3,,,520,407,407,407,407,407,407,407,665
Mirae Asset Overnight Fund,1000,5000,0.11,632,3,Abhishek Iyer,1.26,0.67,0.34,0.45,0.2,1,Mirae Asset Mutual Fund,5,Debt,Overnight Mutual Funds,5.4,3.9,,540,13,407,142,227,5,54,47,776
Mirae Asset Savings Fund,1000,5000,0.37,606,10,Kruti Chheta,3.29,2.65,0.86,1.03,1.47,2,Mirae Asset Mutual Fund,3,Debt,Low Duration Funds,5.2,5.6,5.9,496,147,98,515,478,125,657,533,550
Mirae Asset Short Term Fund,1000,5000,0.31,406,5,Basant Bafna,1.74,4.26,1.46,2.04,1.05,2,Mirae Asset Mutual Fund,3,Debt,Short Duration Funds,4.5,6.1,6.7,418,187,157,196,592,142,751,266,609
Mirae Asset Tax Saver Fund,500,500,0.54,14043,7,Neelesh Surana,3.73,2.58,16.81,0.98,1.52,6,Mirae Asset Mutual Fund,5,Equity,ELSS Mutual Funds,0.6,30.3,15.3,149,652,613,649,465,637,591,572,452
Mirae Asset Ultra Short Duration Fund,1000,5000,0.29,284,2,Basant Bafna,-,-,-,-,-,2,Mirae Asset Mutual Fund,3,Debt,Ultra Short Duration Funds,5.5,,,575,407,407,407,407,407,407,407,628
Motilal Oswal Balance Advantage Fund,500,500,1.19,667,6,Santosh Singh,1.13,-4.94,10.32,0.62,0.62,6,Motilal Oswal Mutual Fund,1,Hybrid,Dynamic Asset Allocation or Balanced Advantage,0.3,9.9,5.6,140,291,82,130,16,354,146,116,150
Motilal Oswal Equity Hybrid Fund,500,500,0.94,385,5,Siddharth Bothra,2.63,-1.13,11.94,0.82,1.16,6,Motilal Oswal Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,1.7,32.4,13.3,213,679,550,341,76,388,325,313,249
Motilal Oswal Flexi Cap Fund,500,500,0.97,8332,9,Siddharth Bothra,1.98,-6.29,15.5,0.86,0.9,6,Motilal Oswal Mutual Fund,1,Equity,Flexi Cap Funds,-1.6,16.4,4.9,84,368,34,225,6,498,385,185,234
Motilal Oswal Focused Fund,500,500,1,1643,10,Siddharth Bothra,2.1,-4.81,16.36,0.94,1.01,6,Motilal Oswal Mutual Fund,2,Equity,Focused Funds,2.6,20.4,10.6,269,419,396,238,18,584,527,246,216
Motilal Oswal Large and Midcap Fund,500,500,0.73,1415,3,Aditya Khemani,3.17,5.27,15.94,0.85,1.55,6,Motilal Oswal Mutual Fund,3,Equity,Large & Mid Cap Funds,10.7,28.9,,756,627,407,478,650,538,364,592,340
Motilal Oswal Liquid Fund,500,500,0.21,484,4,Rakesh Shetty,-0.39,0.88,0.35,0.68,-0.08,2,Motilal Oswal Mutual Fund,1,Debt,Liquid Mutual Funds,5.2,3.8,,496,6,407,11,253,15,183,11,700
Motilal Oswal Long Term Equity Fund,500,500,0.8,2187,8,Aditya Khemani,3.01,1.02,15.9,0.88,1.36,6,Motilal Oswal Mutual Fund,3,Equity,ELSS Mutual Funds,8.5,25,10,732,507,370,431,271,536,417,440,307
Motilal Oswal Midcap Fund,500,500,0.87,3769,9,Niket Shah,3.72,7.69,15.34,0.77,1.98,6,Motilal Oswal Mutual Fund,5,Equity,Mid Cap Mutual Funds,14.6,34,16.4,795,716,627,647,700,487,256,758,280
Motilal Oswal Nasdaq 100 FOF – Direct Growth,500,500,0.1,3378,4,Swapnil Mayekar,1.18,-,22.3,-,0.77,6,Motilal Oswal Mutual Fund,0,Other,FoFs Overseas,-6.2,21.4,,27,432,407,135,407,769,407,147,778
Motilal Oswal Nifty 50 Index Fund,500,500,0.14,234,3,Swapnil Mayekar,3.48,-0.6,16.66,0.99,1.31,6,Motilal Oswal Mutual Fund,4,Other,Index Funds,0.1,26,,131,554,407,595,108,620,610,406,764
Motilal Oswal Nifty 500 Index Fund,500,500,0.4,372,4,Swapnil Mayekar,3.05,-0.81,16.62,0.99,1.34,6,Motilal Oswal Mutual Fund,3,Other,Index Funds,-1.2,26.7,,90,581,407,439,92,610,610,428,519
Motilal Oswal Nifty Bank Index Fund,500,500,0.21,332,4,Swapnil Mayekar,2.02,0,25.4,1,0.95,6,Motilal Oswal Mutual Fund,2,Other,Index Funds,10.8,25,,758,507,407,230,145,784,632,210,700
Motilal Oswal Nifty Midcap 150 Index Fund,500,500,0.22,644,4,Swapnil Mayekar,3.32,-1.33,18.42,1.03,1.58,6,Motilal Oswal Mutual Fund,3,Other,Index Funds,4.8,33.7,,446,708,407,528,67,710,657,609,687
Motilal Oswal Nifty Next 50 Index Fund,500,500,0.33,118,3,Swapnil Mayekar,1.67,-4.95,18,0.98,0.95,6,Motilal Oswal Mutual Fund,2,Other,Index Funds,-5.9,21.8,,31,439,407,181,14,697,591,210,590
Motilal Oswal Nifty Smallcap 250 Index Fund,500,500,0.31,312,4,Swapnil Mayekar,2.88,-1.24,21.03,0.99,1.52,6,Motilal Oswal Mutual Fund,2,Other,Index Funds,-4.8,37.1,,41,745,407,398,68,759,610,572,609
Motilal Oswal Ultra Short Term Fund,500,500,0.58,101,10,Rakesh Shetty,-0.2,1.32,0.39,1.01,-0.09,1,Motilal Oswal Mutual Fund,1,Debt,Ultra Short Duration Funds,4.7,3.9,1.8,436,13,5,17,311,55,648,9,428
Navi 3 In 1 Fund,500,1000,0.34,15,10,Aditya Mulki,3.29,0.91,15.51,0.89,1.41,6,Navi Mutual Fund,2,Hybrid,Multi Asset Allocation Mutual Funds,0.2,32.6,12.4,137,690,500,515,256,500,432,489,580
Navi ELSS Tax Saver Fund,500,500,0.4,56,7,Aditya Mulki,-,-,-,-,-,6,Navi Mutual Fund,2,Equity,ELSS Mutual Funds,1.3,23.4,10.5,194,475,393,407,407,407,407,407,519
Navi Equity Hybrid Fund,500,10,0.42,82,5,Aditya Mulki,2.72,1.73,11.25,0.77,1.41,6,Navi Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,3.2,19.7,,298,410,407,363,372,367,256,489,511
Navi Flexi Cap Fund,500,10,0.43,202,5,Aditya Mulki,3.29,0.91,15.51,0.89,1.41,6,Navi Mutual Fund,3,Equity,Flexi Cap Funds,2.1,25.9,,240,552,407,515,256,500,432,489,505
Navi Large & Midcap Fund,500,10,0.35,234,7,Aditya Mulki,3.12,5.26,15.37,0.85,1.61,6,Navi Mutual Fund,3,Equity,Large & Mid Cap Funds,1.6,28.7,12.7,207,623,515,465,648,489,364,631,570
Navi Large Cap Equity Fund,500,1000,0.31,91,10,Aditya Mulki,3.12,5.26,15.37,0.85,1.61,6,Navi Mutual Fund,2,Equity,Large Cap Mutual Funds,0.2,32.6,12.4,137,690,500,465,648,489,364,631,609
Navi Regular Savings Fund,500,10,0.39,26,10,Surbhi Sharma,2.69,1.01,3.3,0.5,1.38,4,Navi Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,4.4,8.4,6.5,404,276,144,356,269,264,79,454,530
Navi Ultra Short Term Fund,500,1000,0.73,11,10,Surbhi Sharma,2.45,1.07,0.36,0.59,0.79,2,Navi Mutual Fund,1,Debt,Ultra Short Duration Funds,1.7,32.4,13.3,213,679,550,310,276,29,124,152,340
Nippon India Arbitrage Fund,100,5000,0.21,9234,10,Anand Devendra Gupta,1.67,1.74,0.7,0.61,1.31,1,Nippon India Mutual Fund,4,Hybrid,Arbitrage Mutual Funds,5.6,4.9,5.7,595,95,89,181,375,98,140,406,700
Nippon India Balanced Advantage Fund,100,100,0.65,6593,10,Amar Kalkundrikar,3.76,3.1,8.53,0.56,1.58,5,Nippon India Mutual Fund,3,Hybrid,Dynamic Asset Allocation or Balanced Advantage,5.3,17.1,10.1,520,371,375,659,532,342,106,609,383
Nippon India Banking & PSU Debt Fund,100,5000,0.33,4008,8,Pranay Sinha,1.84,5.1,1.92,2.27,1.08,3,Nippon India Mutual Fund,4,Debt,Banking and PSU Mutual Funds,4.2,6.9,7.4,383,239,230,209,644,185,757,275,590
Nippon India Banking&Financial Services-DirGrowth,100,5000,1.32,3826,10,Vinay Sharma,2.22,6.01,24.98,0.93,1.15,6,Nippon India Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,8.8,28.3,9.5,739,618,351,257,664,783,512,308,100
Nippon India Consumption Fund,100,5000,1.76,312,10,Amar Kalkundrikar,4.22,8.77,14.85,0.76,1.76,6,Nippon India Mutual Fund,5,Equity,Sectoral / Thematic Mutual Funds,12.1,30.6,14.6,774,656,599,724,716,463,246,686,21
Nippon India Corporate Bond Fund,100,5000,0.32,1701,10,Vivek Sharma,2.64,2.14,1.41,0.47,1.61,3,Nippon India Mutual Fund,5,Debt,Corporate Bond Mutual Funds,5.1,6.8,7,487,232,190,342,420,140,64,631,600
Nippon India Credit Risk Fund,100,500,1,927,10,Sushil Budhia,3.84,6.08,3.87,0.9,1.26,5,Nippon India Mutual Fund,2,Debt,Credit Risk Funds,4.8,9.5,4.4,446,285,17,667,666,278,452,354,216
Nippon India Dynamic Bond Fund,100,5000,0.28,3340,10,Pranay Sinha,0.46,0.97,4.28,2,0.36,3,Nippon India Mutual Fund,1,Debt,Dynamic Bond,3.6,5.6,6.7,324,147,157,55,268,285,750,63,638
Nippon India Equity Hybrid Fund,100,500,1.31,2764,10,Meenakshi Dawar,3.57,4.96,12.52,0.83,1.62,5,Nippon India Mutual Fund,1,Hybrid,Aggressive Hybrid Mutual Funds,4.2,24.3,5.9,383,489,98,619,636,399,332,640,102
Nippon India Equity Savings Fund,100,5000,0.69,178,8,Sushil Budhia,3.22,2.71,6.41,0.89,1.41,2,Nippon India Mutual Fund,1,Hybrid,Equity Savings Mutual Funds,3.9,12.2,1.3,352,321,4,490,489,320,432,489,359
Nippon India Floating Rate Fund,100,5000,0.27,7288,10,Anju Chhajer,2.66,4.77,1.72,1.84,1.34,3,Nippon India Mutual Fund,3,Debt,Floater Mutual Funds,4.5,6.9,7.1,418,239,202,348,619,162,744,428,649
Nippon India Focused Equity Fund,100,5000,1.2,5929,10,Vinay Sharma,3.5,2.01,20.2,1.12,1.4,6,Nippon India Mutual Fund,3,Equity,Focused Funds,3.2,33,11.9,298,695,462,601,405,751,680,475,141
Nippon India Gold Savings Fund,100,100,0.19,1447,10,Mehul Dama,1.03,-0.52,14.76,1.04,0.46,5,Nippon India Mutual Fund,2,Other,FoFs Domestic,14.2,11.7,13.1,788,308,538,118,116,457,662,87,725
Nippon India Growth Fund,100,100,1.09,13409,10,Rupesh Patel,3.62,2.25,16.8,0.91,1.74,6,Nippon India Mutual Fund,4,Equity,Mid Cap Mutual Funds,5.6,32.4,14.5,595,679,596,627,430,633,472,675,176
Nippon India GSF – Direct Growth,100,5000,0.63,1158,10,Pranay Sinha,0.57,0.57,2.98,0.69,0.45,2,Nippon India Mutual Fund,3,Debt,Gilt Mutual Funds,4.4,5.5,8.3,404,143,293,66,204,249,188,82,396
Nippon India Hybrid Bond Fund,100,5000,1.26,716,10,Sushil Budhia,4.19,3.09,2.5,0.33,2.17,6,Nippon India Mutual Fund,1,Hybrid,Conservative Hybrid Mutual Funds,5.1,9.6,3.4,487,287,11,720,529,224,26,782,118
Nippon India Income Fund,100,5000,0.58,238,10,Vivek Sharma,0.6,1.14,3.05,1.43,0.5,2,Nippon India Mutual Fund,3,Debt,Medium to Long Duration Funds,6,5.8,7.9,672,165,269,69,286,255,728,100,428
